"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
" ",34,28,62,"Ni ","    ",-66746.3,0.4,8794.553,0.007,"  ","*","*",61.9283449,0.5,"stable","0+",-3.9589,-6.3443,-5.3223,-7.016116
" ",33,29,62,"Cu ","   -",-62787.4,0.6,8718.081,0.01,"B+",3958.9,0.5,61.9325949,0.7,"9.67 m","1+",-1.6194,2.9369,3.9589,-5.365116
" ",32,30,62,"Zn ","    ",-61168.0,0.6,8679.343,0.01,"B+",1619.5,0.7,61.9343335,0.7,"9.193 h","0+",-9.1811,0.5974,1.6194,-3.364216
" ",31,31,62,"Ga ","    ",-51986.9,0.6,8518.642,0.01,"B+",9181.1,0.4,61.9441898,0.7,"116.121 ms","0+",-10.2469,8.1591,9.1811,-2.744116
" ",30,32,62,"Ge ","   x",-41740.0,140.0,8341.0,2.0,"B+",10250.0,140.0,61.95519,150.0,"129 ms","0+",-17.42,9.2249,10.2469,-1.864916
" ",29,33,62,"As ","   x",-24320.0,300.0,8047.0,5.0,"B+",17420.0,330.0,61.97389,320.0,"None","None",0.0,16.398,17.42,-3.204916
"0",41,22,63,"Ti ","   x",-5750.0,500.0,7889.0,8.0,"B-",16140.0,640.0,62.99383,540.0,"360 ns","",16.14,0.0,0.0,0.0
" ",40,23,63,"V  ","   x",-21890.0,400.0,8133.0,6.0,"B-",14120.0,540.0,62.9765,430.0,"17 ms","(7/2-)",14.12,-17.162,-16.14,-14.014916
" ",39,24,63,"Cr ","   x",-36010.0,360.0,8345.0,6.0,"B-",10880.0,360.0,62.96134,380.0,"129 ms","1/2-",10.877,-15.142,-14.12,-12.924916
" ",38,25,63,"Mn ","   x",-46887.0,4.0,8505.1,0.06,"B-",8749.0,6.0,62.949665,4.0,"0.275 s","5/2-",8.749,-11.899,-10.877,-11.481916
" ",37,26,63,"Fe ","    ",-55636.0,4.0,8631.55,0.07,"B-",6216.0,19.0,62.940273,5.0,"6.1 s","(5/2-)",6.215,-9.771,-8.749,-9.970916
" ",36,27,63,"Co ","    ",-61851.0,19.0,8717.79,0.29,"B-",3661.0,19.0,62.9336,20.0,"27.4 s","7/2-",3.6618,-7.237,-6.215,-8.750616
" ",35,28,63,"Ni ","    ",-65512.8,0.4,8763.493,0.007,"B-",66.977,0.015,62.9296691,0.5,"101.2 y","1/2-",0.067,-4.6838,-3.6618,-7.272916
" ",34,29,63,"Cu ","    ",-65579.8,0.4,8752.138,0.007,"  ","*","*",62.9295972,0.5,"stable","3/2-",-3.3664,-1.089,-0.067,-5.775016
" ",33,30,63,"Zn ","    ",-62213.4,1.6,8686.285,0.025,"B+",3366.4,1.5,62.9332112,1.7,"38.47 m","3/2-",-5.6663,2.3444,3.3664,-3.481616
" ",32,31,63,"Ga ","   x",-56547.1,1.3,8583.926,0.021,"B+",5666.3,2.0,62.939294200000006,1.4,"32.4 s","3/2-",-9.6271,4.6443,5.6663,-2.613716
" ",31,32,63,"Ge ","   x",-46920.0,40.0,8418.7,0.6,"B+",9630.0,40.0,62.94963,40.0,"150 ms","3/2-",-13.42,8.6051,9.6271,-2.129316
" ",30,33,63,"As ","   x",-33500.0,200.0,8193.0,3.0,"B+",13420.0,200.0,62.96404,220.0,"43 ns","3/2-",0.0,12.398,13.42,-2.164916
"0",42,22,64,"Ti ","   x",-1030.0,600.0,7818.0,9.0,"B-",15300.0,720.0,63.9989,640.0,"620 ns","0+",15.29,0.0,0.0,0.0
" ",41,23,64,"V  ","   x",-16320.0,400.0,8045.0,6.0,"B-",17160.0,590.0,63.98248,430.0,"15 ms","(le2)",17.16,-16.312,-15.29,-14.694916
" ",40,24,64,"Cr ","   x",-33480.0,440.0,8301.0,7.0,"B-",9510.0,440.0,63.96406,470.0,"43 ms","0+",9.509,-18.182,-17.16,-13.574916
" ",39,25,64,"Mn ","   x",-42989.0,4.0,8437.42,0.06,"B-",11981.0,6.0,63.953849,4.0,"0.50 ms","(4+)",11.981,-10.531,-9.509,-12.173916
" ",38,26,64,"Fe ","   x",-54970.0,5.0,8612.39,0.08,"B-",4823.0,21.0,63.940988,5.0,"2.0 s","0+",4.822,-13.003,-11.981,-10.724916
" ",37,27,64,"Co ","   +",-59792.0,20.0,8675.5,0.3,"B-",7307.0,20.0,63.93581,21.0,"0.30 s","1+",7.3069,-5.844,-4.822,-9.249016
" ",36,28,64,"Ni ","    ",-67098.9,0.5,8777.461,0.007,"B-",-1674.38,0.23,63.927966299999994,0.5,"stable","0+",-1.6744,-8.3289,-7.3069,-8.110816
" ",35,29,64,"Cu ","    ",-65424.5,0.4,8739.075,0.007,"B-",579.5,0.6,63.9297639,0.5,"12.701 h","1+",0.5795,0.6524,1.6744,-6.199116
" ",34,30,64,"Zn ","    ",-66004.0,0.6,8735.905,0.01,"  ","*","*",63.9291418,0.7,"stable","0+",-7.1712,-1.6015,-0.5795,-3.955816
" ",33,31,64,"Ga ","    ",-58832.8,1.4,8611.631,0.022,"B+",7171.2,1.5,63.9368404,1.5,"2.627 m","0+",-4.5178,6.1492,7.1712,-2.912616
" ",32,32,64,"Ge ","   x",-54315.0,4.0,8528.82,0.06,"B+",4517.0,4.0,63.94169,4.0,"63.7 s","0+",-14.785,3.4958,4.5178,-2.565616
" ",31,33,64,"As ","  -p",-39530.0,200.0,8286.0,3.0,"B+",14780.0,200.0,63.95756,220.0,"18 ms","",-12.83,13.763,14.785,-2.364916
" ",30,34,64,"Se ","   x",-26700.0,500.0,8073.0,8.0,"B+",12830.0,540.0,63.97134,540.0,"180 ns","0+",0.0,11.808,12.83,-2.034916
"0",42,23,65,"V  ","   x",-11780.0,500.0,7976.0,8.0,"B-",16440.0,580.0,64.98735,540.0,"360 ns","",16.44,0.0,0.0,-15.134916
" ",41,24,65,"Cr ","   x",-28220.0,300.0,8217.0,5.0,"B-",12750.0,300.0,64.96971,320.0,"27 ms","(1/2-)",12.747,-17.462,-16.44,-14.294916
" ",40,25,65,"Mn ","   x",-40967.0,4.0,8400.68,0.06,"B-",10251.0,6.0,64.95602,4.0,"92 ms","",10.251,-13.769,-12.747,-12.881916
" ",39,26,65,"Fe ","   x",-51218.0,5.0,8546.35,0.08,"B-",7967.0,6.0,64.945015,5.0,"0.81 s","(1/2-)",7.9672,-11.273,-10.251,-11.162916
" ",38,27,65,"Co ","   x",-59185.2,2.1,8656.88,0.03,"B-",5940.5,2.1,64.9364621,2.2,"1.16 s","(7/2)-",5.9405,-8.9892,-7.9672,-9.868016
" ",37,28,65,"Ni ","  -n",-65125.7,0.5,8736.24,0.008,"B-",2138.0,0.7,64.93008470000001,0.5,"2.51719 h","5/2-",2.138,-6.9625,-5.9405,-8.630116
" ",36,29,65,"Cu ","    ",-67263.7,0.6,8757.096,0.01,"  ","*","*",64.9277895,0.7,"stable","3/2-",-1.3517,-3.16,-2.138,-6.790516
" ",35,30,65,"Zn ","    ",-65912.0,0.6,8724.265,0.01,"B+",1351.6,0.4,64.9292405,0.7,"243.93 d","5/2-",-3.2545,0.3297,1.3517,-4.115016
" ",34,31,65,"Ga ","    ",-62657.5,0.8,8662.16,0.013,"B+",3254.5,0.7,64.9327344,0.9,"15.2 m","3/2-",-6.1793,2.2325,3.2545,-3.098316
" ",33,32,65,"Ge ","    ",-56478.2,2.2,8555.06,0.03,"B+",6179.3,2.3,64.9393681,2.3,"30.9 s","(3/2)-",-9.5382,5.1573,6.1793,-2.554116
" ",32,33,65,"As ","   x",-46940.0,80.0,8396.2,1.3,"B+",9540.0,80.0,64.94961,90.0,"128 ms","",-13.92,8.5162,9.5382,-2.234916
" ",31,34,65,"Se ","   x",-33020.0,300.0,8170.0,5.0,"B+",13920.0,310.0,64.96455,320.0,"33 ms","(3/2-)",0.0,12.898,13.92,-2.084916
"0",43,23,66,"V  ","   x",-5610.0,500.0,7884.0,8.0,"B-",19110.0,640.0,65.99398,540.0,"360 ns","",19.11,0.0,0.0,0.0
" ",42,24,66,"Cr ","   x",-24720.0,400.0,8161.0,6.0,"B-",12030.0,400.0,65.97346,430.0,"10 ms","0+",12.03,-20.132,-19.11,-14.644916
" ",41,25,66,"Mn ","   x",-36750.0,11.0,8331.8,0.17,"B-",13317.0,12.0,65.960547,12.0,"65 ms","",13.318,-13.052,-12.03,-13.694916
" ",40,26,66,"Fe ","   x",-50068.0,4.0,8521.72,0.06,"B-",6341.0,15.0,65.94625,4.0,"440 ms","0+",6.341,-14.34,-13.318,-11.602916
" ",39,27,66,"Co ","   x",-56409.0,14.0,8605.94,0.21,"B-",9598.0,14.0,65.939443,15.0,"0.20 s","(3+)",9.5973,-7.363,-6.341,-10.309916
" ",38,28,66,"Ni ","   x",-66006.3,1.4,8739.508,0.021,"B-",252.0,1.5,65.9291393,1.5,"54.6 h","0+",0.252,-10.6193,-9.5973,-9.553216
" ",37,29,66,"Cu ","    ",-66258.3,0.7,8731.472,0.01,"B-",2640.9,0.9,65.9288688,0.7,"5.120 m","1+",2.6409,-1.274,-0.252,-7.259216
" ",36,30,66,"Zn ","    ",-68899.2,0.7,8759.632,0.011,"  ","*","*",65.9260337,0.8,"stable","0+",-5.1755,-3.6629,-2.6409,-4.577816
" ",35,31,66,"Ga ","   -",-63723.7,1.1,8669.361,0.017,"B+",5175.5,0.8,65.9315898,1.2,"9.49 h","0+",-2.1167,4.1535,5.1755,-3.361216
" ",34,32,66,"Ge ","   x",-61607.0,2.4,8625.44,0.04,"B+",2116.6,2.6,65.9338621,2.6,"2.26 h","0+",-9.582,1.0947,2.1167,-2.863916
" ",33,33,66,"As ","   x",-52025.0,6.0,8468.4,0.09,"B+",9582.0,6.0,65.944149,6.0,"95.77 ms","0+",-10.365,8.56,9.582,-2.463016
" ",32,34,66,"Se ","   x",-41660.0,200.0,8300.0,3.0,"B+",10370.0,200.0,65.95528,220.0,"42 ms","0+",0.0,9.343,10.365,-2.344916
"0",44,23,67,"V  ","   x",-650.0,600.0,7812.0,9.0,"B-",18030.0,720.0,66.9993,640.0,"620 ns","",18.03,0.0,0.0,0.0
" ",43,24,67,"Cr ","   x",-18680.0,400.0,8070.0,6.0,"B-",14780.0,500.0,66.97995,430.0,"None","None",14.78,-19.052,-18.03,-15.354916
" ",42,25,67,"Mn ","   x",-33460.0,300.0,8279.0,4.0,"B-",12150.0,400.0,66.96408,320.0,"47 ms","(5/2-)",12.15,-15.802,-14.78,-13.994916
" ",41,26,67,"Fe ","   x",-45610.0,270.0,8448.0,4.0,"B-",9710.0,270.0,66.95104,290.0,"75 us","(1/2-)",9.712,-13.172,-12.15,-12.024916
" ",40,27,67,"Co ","   x",-55322.0,6.0,8581.74,0.1,"B-",8421.0,7.0,66.94061,7.0,"0.425 s","(7/2-)",8.4207,-10.734,-9.712,-10.859916
" ",39,28,67,"Ni ","   x",-63742.7,2.9,8695.75,0.04,"B-",3577.0,3.0,66.931569,3.0,"21 s","(1/2)-",3.5768,-9.4427,-8.4207,-10.531616
" ",38,29,67,"Cu ","    ",-67319.5,0.9,8737.458,0.013,"B-",560.8,0.8,66.9277295,1.0,"2.4 ns","15/2+",0.5608,-4.5988,-3.5768,-7.893416
" ",37,30,67,"Zn ","    ",-67880.3,0.8,8734.152,0.011,"  ","*","*",66.9271275,0.8,"stable","5/2-",-1.0013,-1.5828,-0.5608,-4.792416
" ",36,31,67,"Ga ","    ",-66879.0,1.2,8707.531,0.018,"B+",1001.3,1.1,66.9282024,1.3,"3.2617 d","3/2-",-4.221,-0.0207,1.0013,-3.724116
" ",35,32,67,"Ge ","-n2p",-62658.0,5.0,8632.86,0.07,"B+",4221.0,5.0,66.932734,5.0,"18.9 m","1/2-",-6.0708,3.199,4.221,-2.869516
" ",34,33,67,"As ","    ",-56587.2,0.4,8530.568,0.007,"B+",6071.0,5.0,66.9392511,0.5,"42.5 s","(5/2-)",-10.0072,5.0488,6.0708,-2.465016
" ",33,34,67,"Se ","   x",-46580.0,70.0,8369.5,1.0,"B+",10010.0,70.0,66.94999,70.0,"136 ms","",-13.79,8.9852,10.0072,-2.084916
" ",32,35,67,"Br ","   x",-32790.0,400.0,8152.0,6.0,"B+",13790.0,410.0,66.9648,430.0,"None","None",0.0,12.768,13.79,-1.714916
"0",44,24,68,"Cr ","   x",-14800.0,500.0,8013.0,7.0,"B-",13580.0,640.0,67.98411,540.0,"360 ns","0+",13.58,0.0,0.0,-16.194916
" ",43,25,68,"Mn ","   x",-28380.0,400.0,8201.0,6.0,"B-",15110.0,540.0,67.96953,430.0,"28 ms",">3",15.11,-14.602,-13.58,-14.484916
" ",42,26,68,"Fe ","   x",-43490.0,370.0,8412.0,5.0,"B-",8440.0,410.0,67.95331,390.0,"188 ms","0+",8.44,-16.132,-15.11,-12.434916
" ",41,27,68,"Co ","   x",-51930.0,190.0,8524.4,2.8,"B-",11530.0,190.0,67.94425,200.0,"0.20 s","(7-)",11.5338,-9.462,-8.44,-11.365916
" ",40,28,68,"Ni ","   x",-63463.8,3.0,8682.47,0.04,"B-",2103.0,3.0,67.931869,3.0,"0.86 ms","5-",2.1032,-12.5558,-11.5338,-10.918716
" ",39,29,68,"Cu ","   x",-65567.0,1.6,8701.89,0.023,"B-",4440.1,1.8,67.9296109,1.7,"3.75 m","6-",4.4401,-3.1252,-2.1032,-8.199916
" ",38,30,68,"Zn ","    ",-70007.1,0.8,8755.68,0.012,"  ","*","*",67.9248443,0.8,"stable","0+",-2.9211,-5.4621,-4.4401,-5.333116
" ",37,31,68,"Ga ","   -",-67086.0,1.4,8701.218,0.021,"B+",2921.1,1.2,67.92798020000001,1.5,"67.71 m","1+",-0.1072,1.8991,2.9211,-4.086416
" ",36,32,68,"Ge ","   x",-66978.8,1.9,8688.136,0.028,"B+",107.2,2.4,67.9280953,2.0,"270.95 d","0+",-8.0843,-0.9148,0.1072,-3.399716
" ",35,33,68,"As ","    ",-58894.5,1.8,8557.745,0.027,"B+",8084.3,2.6,67.9367741,2.0,"151.6 s","3+",-4.7051,7.0623,8.0843,-2.486616
" ",34,34,68,"Se ","   x",-54189.4,0.5,8477.047,0.007,"B+",4705.1,1.9,67.9418252,0.5,"35.5 s","0+",-15.3994,3.6831,4.7051,-2.299316
" ",33,35,68,"Br ","  -p",-38790.0,260.0,8239.0,4.0,"B+",15400.0,260.0,67.95836,280.0,"None","None",0.0,14.3774,15.3994,-1.684916
"0",45,24,69,"Cr ","   x",-8580.0,500.0,7924.0,7.0,"B-",16190.0,640.0,68.99079,540.0,"620 ns","",16.19,0.0,0.0,0.0
" ",44,25,69,"Mn ","   x",-24770.0,400.0,8147.0,6.0,"B-",14260.0,570.0,68.97341,430.0,"16 ms","(5/2-)",14.26,-17.212,-16.19,-15.414916
" ",43,26,69,"Fe ","   x",-39030.0,400.0,8342.0,6.0,"B-",11250.0,420.0,68.9581,430.0,"110 ms","",11.25,-15.282,-14.26,-13.234916
" ",42,27,69,"Co ","   x",-50280.0,140.0,8493.9,2.0,"B-",9700.0,140.0,68.94602,150.0,"227 ms","(7/2-)",9.699,-12.272,-11.25,-11.737916
" ",41,28,69,"Ni ","   x",-59979.0,4.0,8623.1,0.05,"B-",5758.0,4.0,68.93561,4.0,"0.439 us","(17/2-)",5.7572,-10.721,-9.699,-11.185916
" ",40,29,69,"Cu ","   x",-65736.2,1.4,8695.204,0.02,"B-",2681.6,1.6,68.9294293,1.5,"2.85 m","3/2-",2.6816,-6.7792,-5.7572,-8.975916
" ",39,30,69,"Zn ","  -n",-68417.8,0.8,8722.729,0.012,"B-",910.0,1.4,68.92655040000001,0.9,"13.756 h","9/2+",0.91,-3.7036,-2.6816,-5.717016
" ",38,31,69,"Ga ","    ",-69327.8,1.2,8724.579,0.017,"  ","*","*",68.9255735,1.3,"stable","3/2-",-2.2271,-1.932,-0.91,-4.489016
" ",37,32,69,"Ge ","    ",-67100.7,1.3,8680.963,0.019,"B+",2227.1,0.5,68.9279645,1.4,"39.05 h","5/2-",-3.9907,1.2051,2.2271,-3.613616
" ",36,33,69,"As ","    ",-63110.0,30.0,8611.8,0.5,"B+",3990.0,30.0,68.93225,30.0,"15.2 m","5/2-",-6.6753,2.9687,3.9907,-2.877416
" ",35,34,69,"Se ","    ",-56434.7,1.5,8503.707,0.022,"B+",6680.0,30.0,68.9394148,1.6,"27.4 s","(1/2-,3/2-)",-10.1747,5.6533,6.6753,-2.381416
" ",34,35,69,"Br ","  -p",-46260.0,40.0,8344.9,0.6,"B+",10180.0,40.0,68.95034,50.0,"24 ns","(5/2-)",-13.82,9.1527,10.1747,-1.744916
" ",33,36,69,"Kr ","   x",-32440.0,400.0,8133.0,6.0,"B+",13830.0,400.0,68.96518,430.0,"28 ms","(5/2-)",0.0,12.798,13.82,-1.844916
"0",46,24,70,"Cr ","   x",-4480.0,600.0,7867.0,9.0,"B-",15020.0,780.0,69.99519,640.0,"620 ns","0+",15.02,0.0,0.0,0.0
" ",45,25,70,"Mn ","   x",-19500.0,500.0,8070.0,7.0,"B-",17010.0,640.0,69.97907,540.0,"19.9 ms","",17.01,-16.042,-15.02,-16.314916
" ",44,26,70,"Fe ","   x",-36510.0,400.0,8302.0,6.0,"B-",10120.0,500.0,69.96081,430.0,"65 ms","0+",10.12,-18.032,-17.01,-14.214916
" ",43,27,70,"Co ","   x",-46630.0,300.0,8436.0,4.0,"B-",12580.0,300.0,69.94994,320.0,"112 ms","(6-,7-)",12.5839,-11.142,-10.12,-12.304916
" ",42,28,70,"Ni ","   x",-59213.9,2.1,8604.29,0.03,"B-",3762.5,2.4,69.9364313,2.3,"6.0 s","0+",3.7625,-13.6059,-12.5839,-11.570816
" ",41,29,70,"Cu ","   x",-62976.4,1.1,8646.865,0.015,"B-",6588.4,2.2,69.93239209999999,1.2,"33 s","3-",6.5883,-4.7845,-3.7625,-8.992316
" ",40,30,70,"Zn ","    ",-69564.7,1.9,8729.808,0.027,"B-",-654.6,1.6,69.9253192,2.1,"3.8e18 y","0+",-0.6546,-7.6103,-6.5883,-5.983316
" ",39,31,70,"Ga ","    ",-68910.1,1.2,8709.28,0.017,"B-",1651.7,1.5,69.92602190000001,1.3,"21.14 m","1+",1.6518,-0.3674,0.6546,-5.076716
" ",38,32,70,"Ge ","    ",-70561.9,0.8,8721.7,0.012,"  ","*","*",69.9242487,0.9,"stable","0+",-6.2219,-2.6738,-1.6518,-4.087616
" ",37,33,70,"As ","   -",-64340.0,50.0,8621.7,0.7,"B+",6220.0,50.0,69.93093,50.0,"52.6 m","4+",-2.4101,5.1999,6.2219,-3.041216
" ",36,34,70,"Se ","   x",-61929.9,1.6,8576.033,0.023,"B+",2410.0,50.0,69.9335155,1.7,"41.1 m","0+",-10.5039,1.3881,2.4101,-2.747816
" ",35,35,70,"Br ","   x",-51426.0,15.0,8414.8,0.21,"B+",10504.0,15.0,69.944792,16.0,"79.1 ms","0+",-10.326,9.4819,10.5039,-1.825916
" ",34,36,70,"Kr ","   x",-41100.0,200.0,8256.0,3.0,"B+",10330.0,200.0,69.95588,220.0,"40 ms","0+",0.0,9.304,10.326,-1.864916
"0",46,25,71,"Mn ","   x",-15570.0,500.0,8015.0,7.0,"B-",15860.0,640.0,70.98329,540.0,"637 ns","",15.86,0.0,0.0,-17.344916
" ",45,26,71,"Fe ","   x",-31430.0,400.0,8227.0,6.0,"B-",12940.0,610.0,70.96626,430.0,"28 ms","",12.94,-16.882,-15.86,-15.174916
" ",44,27,71,"Co ","   x",-44370.0,470.0,8399.0,7.0,"B-",11040.0,470.0,70.95237,500.0,"80 ms","(7/2-)",11.0362,-13.962,-12.94,-13.334916
" ",43,28,71,"Ni ","   x",-55406.2,2.2,8543.16,0.03,"B-",7304.9,2.7,70.940519,2.4,"2.56 s","(9/2+)",7.3049,-12.0582,-11.0362,-12.221116
" ",42,29,71,"Cu ","   x",-62711.1,1.5,8635.022,0.021,"B-",4618.0,3.0,70.9326768,1.6,"19.4 s","3/2(-)",4.6177,-8.3269,-7.3049,-9.814016
" ",41,30,71,"Zn ","    ",-67328.8,2.7,8689.04,0.04,"B-",2810.4,2.8,70.92771959999999,2.8,"2.45 m","1/2-",2.8103,-5.6397,-4.6177,-6.011016
" ",40,31,71,"Ga ","    ",-70139.1,0.8,8717.604,0.011,"  ","*","*",70.9247025,0.9,"stable","3/2-",-0.2326,-3.8323,-2.8103,-5.244516
" ",39,32,71,"Ge ","    ",-69906.5,0.8,8703.309,0.012,"B+",232.64,0.22,70.9249523,0.9,"11.43 d","1/2-",-2.0135,-0.7894,0.2326,-4.451116
" ",38,33,71,"As ","   -",-67893.0,4.0,8663.93,0.06,"B+",2013.0,4.0,70.927114,4.0,"65.30 h","5/2-",-4.7465,0.9915,2.0135,-3.438916
" ",37,34,71,"Se ","   x",-63146.5,2.8,8586.06,0.04,"B+",4747.0,5.0,70.932209,3.0,"4.74 m","(5/2-)",-6.6445,3.7245,4.7465,-2.913416
" ",36,35,71,"Br ","    ",-56502.0,5.0,8481.46,0.08,"B+",6644.0,6.0,70.939342,6.0,"21.4 s","(5/2)-",-10.172,5.6225,6.6445,-2.339716
" ",35,36,71,"Kr ","    ",-46330.0,130.0,8327.1,1.8,"B+",10180.0,130.0,70.95027,140.0,"100 ms","(5/2-)",-14.27,9.15,10.172,-2.174916
" ",34,37,71,"Rb ","   x",-32060.0,400.0,8115.0,6.0,"B+",14270.0,420.0,70.96558,430.0,"None","None",0.0,13.248,14.27,-1.694916
"0",47,25,72,"Mn ","   x",-9900.0,600.0,7937.0,8.0,"B-",18530.0,780.0,71.98937,640.0,"620 ns","",18.53,0.0,0.0,0.0
" ",46,26,72,"Fe ","   x",-28430.0,500.0,8184.0,7.0,"B-",11770.0,640.0,71.96948,540.0,"150 ns","0+",11.77,-19.552,-18.53,-16.054916
" ",45,27,72,"Co ","   x",-40200.0,400.0,8336.0,6.0,"B-",14030.0,400.0,71.95684,430.0,"62 ms","(6-,7-)",14.0261,-12.792,-11.77,-14.244916
" ",44,28,72,"Ni ","   x",-54226.1,2.2,8520.21,0.03,"B-",5556.9,2.6,71.9417859,2.4,"1.57 s","0+",5.5569,-15.0481,-14.0261,-13.161016
" ",43,29,72,"Cu ","   x",-59783.0,1.4,8586.525,0.019,"B-",8362.5,2.6,71.9358203,1.5,"6.63 s","(2)",8.3625,-6.5789,-5.5569,-10.277916
" ",42,30,72,"Zn ","   x",-68145.5,2.1,8691.805,0.03,"B-",442.8,2.3,71.9268428,2.3,"46.5 h","0+",0.4428,-9.3845,-8.3625,-7.106616
" ",41,31,72,"Ga ","    ",-68588.3,0.8,8687.089,0.011,"B-",3997.6,0.8,71.9263674,0.9,"14.10 h","3-",3.9976,-1.4648,-0.4428,-5.446216
" ",40,32,72,"Ge ","    ",-72585.9,0.08,8731.745,0.001,"  ","*","*",71.92207583,0.08,"stable","0+",-4.3559,-5.0196,-3.9976,-5.003716
" ",39,33,72,"As ","   -",-68230.0,4.0,8660.38,0.06,"B+",4356.0,4.0,71.926752,4.0,"26.0 h","2-",-0.3618,3.3339,4.3559,-3.568916
" ",38,34,72,"Se ","   x",-67868.2,2.0,8644.489,0.027,"B+",362.0,5.0,71.9271405,2.1,"8.40 d","0+",-8.8065,-0.6602,0.3618,-3.314316
" ",37,35,72,"Br ","   x",-59061.7,1.0,8511.312,0.014,"B+",8806.4,2.2,71.93659459999999,1.1,"78.6 s","1+",-5.1207,7.7845,8.8065,-2.592116
" ",36,36,72,"Kr ","   x",-53941.0,8.0,8429.32,0.11,"B+",5121.0,8.0,71.942092,9.0,"17.1 s","0+",-15.611,4.0987,5.1207,-2.176516
" ",35,37,72,"Rb ","   x",-38330.0,500.0,8202.0,7.0,"B+",15610.0,500.0,71.95885,540.0,"None","None",0.0,14.589,15.611,-1.964916
"0",47,26,73,"Fe ","   x",-22900.0,500.0,8106.0,7.0,"B-",14520.0,640.0,72.97542,540.0,"12.9 ms","",14.52,0.0,0.0,-16.744916
" ",46,27,73,"Co ","   x",-37420.0,400.0,8295.0,5.0,"B-",12690.0,400.0,72.95983,430.0,"40.7 ms","(7/2-)",12.6882,-15.542,-14.52,-15.074916
" ",45,28,73,"Ni ","   x",-50108.2,2.4,8457.65,0.03,"B-",8879.0,3.0,72.9462067,2.6,"0.84 s","(9/2+)",8.8792,-13.7102,-12.6882,-13.503116
" ",44,29,73,"Cu ","    ",-58987.4,1.9,8568.569,0.027,"B-",6606.0,2.7,72.9366744,2.1,"4.2 s","3/2-",6.606,-9.9012,-8.8792,-11.132316
" ",43,30,73,"Zn ","   x",-65593.4,1.9,8648.345,0.026,"B-",4105.9,2.5,72.92958259999999,2.0,"23.5 s","(1/2)-",4.1059,-7.628,-6.606,-8.039316
" ",42,31,73,"Ga ","   x",-69699.3,1.7,8693.873,0.023,"B-",1598.2,1.7,72.9251747,1.8,"4.86 h","3/2-",1.59822,-5.1279,-4.1059,-6.388016
" ",41,32,73,"Ge ","    ",-71297.52,0.06,8705.049,0.001,"  ","*","*",72.92345895999999,0.06,"0.499 s","1/2-",-0.34452,-2.62022,-1.59822,-5.304636
" ",40,33,73,"As ","    ",-70953.0,4.0,8689.61,0.05,"B+",345.0,4.0,72.923829,4.0,"80.30 d","3/2-",-2.726,-0.67748,0.34452,-4.050116
" ",39,34,73,"Se ","    ",-68227.0,7.0,8641.56,0.1,"B+",2725.0,7.0,72.926755,8.0,"7.15 h","9/2+",-4.58,1.704,2.726,-3.551216
" ",38,35,73,"Br ","   x",-63647.0,7.0,8568.1,0.1,"B+",4580.0,10.0,72.931672,8.0,"3.4 m","1/2-",-7.095,3.558,4.58,-2.961916
" ",37,36,73,"Kr ","   x",-56552.0,7.0,8460.18,0.09,"B+",7096.0,10.0,72.939289,7.0,"27.3 s","(3/2-)",-10.472,6.073,7.095,-2.542216
" ",36,37,73,"Rb ","  -p",-46080.0,200.0,8306.0,3.0,"B+",10470.0,200.0,72.95053,220.0,"30 ns","",-14.13,9.45,10.472,-2.244916
" ",35,38,73,"Sr ","   x",-31950.0,400.0,8102.0,5.0,"B+",14130.0,450.0,72.9657,430.0,"25 ms","",0.0,13.108,14.13,-1.934916
"0",48,26,74,"Fe ","   x",-19590.0,600.0,8061.0,8.0,"B-",13230.0,780.0,73.97897,640.0,"638 ns","0+",13.23,0.0,0.0,-17.534916
" ",47,27,74,"Co ","   x",-32820.0,500.0,8229.0,7.0,"B-",15640.0,540.0,73.96477,540.0,"30 ms","",15.64,-14.252,-13.23,-15.744916
" ",46,28,74,"Ni ","   x",-48460.0,200.0,8430.0,3.0,"B-",7550.0,200.0,73.94798,210.0,"0.68 s","0+",7.546,-16.662,-15.64,-14.374916
" ",45,29,74,"Cu ","   x",-56006.0,6.0,8521.56,0.08,"B-",9751.0,7.0,73.939875,7.0,"1.63 s","(1+,3+)",9.7507,-8.568,-7.546,-11.800916
" ",44,30,74,"Zn ","   x",-65756.7,2.5,8642.75,0.03,"B-",2293.0,4.0,73.9294073,2.7,"95.6 s","0+",2.2929,-10.7727,-9.7507,-8.967716
" ",43,31,74,"Ga ","   x",-68049.6,3.0,8663.17,0.04,"B-",5372.8,3.0,73.926946,3.0,"9.5 s","(0)",5.372842,-3.3149,-2.2929,-7.498116
" ",42,32,74,"Ge ","    ",-73422.442,0.013,8725.2,0.0,"B-",-2562.4,1.7,73.921177762,0.013,"stable","0+",-2.562342,-6.394842,-5.372842,-6.282658
" ",41,33,74,"As ","    ",-70860.1,1.7,8680.001,0.023,"B-",1353.1,1.7,73.9239286,1.8,"17.77 d","2-",1.353101,1.540342,2.562342,-4.374916
" ",40,34,74,"Se ","    ",-72213.201,0.015,8687.715,0.0,"  ","*","*",73.92247593500001,0.016,"stable","0+",-6.925201,-2.375101,-1.353101,-4.076217
